POSTO,Data,Dia m3/s,NÍVEL RES. (m),VOLUME (%VU) ARM. nan,nan ESP. nan,VAZÃO (m3/s) TUR. nan,nan VER. nan,nan OTR. nan,nan DFL. nan,nan TRA. nan,nan AFL. nan,nan INC. nan,nan Usos Con.,nan EVP. nan,nan ART. nan
57,2020-08-09,58,629.33,34.0,-,59,0,0,78,0,53,58,1.72,2.28,0
61,2020-08-09,320,327.05,39.52,100,339,0,0,339,0,349,78,27.23,6.57,0
62,2020-08-09,361,283.65,81.35,-,360,0,0,360,0,335,35,28.13,1.04,0
63,2020-08-09,453,257.83,90.97,-,444,0,0,444,0,474,81,30.85,2.72,0
266,2020-08-09,4622,217.59,80.9,-,7258,0,0,7258,0,6839,955,392.01,11.47,4596
74,2020-08-09,156,721.78,41.52,-,9,0,0,9,0,150,156,6.2,1.07,0
76,2020-08-09,222,603.6,31.22,-,284,0,0,284,-71,153,60,6.28,1.01,262
71,2020-08-09,35,800.85,70.52,-,42,0,0,49,0,33,35,0.4,0.15,0
72,2020-08-09,38,705.27,54.39,-,41,1,0,49,0,49,3,0.4,0.02,0
73,2020-08-09,50,604.54,30.57,-,0,0,0,10,71,63,12,0.41,0.01,10
77,2020-08-09,313,492.07,37.89,100,357,0,0,357,0,339,36,6.95,2.01,0
78,2020-08-09,331,396.38,91.45,-,481,17,0,498,0,344,14,7.08,0.63,0
222,2020-08-09,424,323.55,27.08,-,526,0,0,526,0,589,88,8.1,1.58,0
81,2020-08-09,458,258.39,37.99,-,609,0,0,609,0,509,32,0.0,0.0,0
215,2020-08-09,120,639.55,71.01,-,360,2,0,362,0,117,120,0.35,2.7,0
89,2020-08-09,93,703.83,51.44,-,81,0,0,94,0,91,93,0.88,0.79,0
216,2020-08-09,117,657.42,48.4,-,72,0,0,72,0,120,22,0.97,1.05,0
217,2020-08-09,357,474.36,59.59,-,305,0,0,305,0,525,101,1.59,1.07,0
92,2020-08-09,485,367.37,54.57,-,394,0,0,394,0,425,115,3.19,5.13,0
93,2020-08-09,45,595.44,74.46,-,44,0,0,44,0,44,45,0.33,3.53,0
220,2020-08-09,77,327.5,49.13,-,38,0,0,38,0,63,32,0.4,0.2,0
